lang,iter,part,sec
Julia 1.11.2,1,Part One,0.072091976
Julia 1.11.2,1,Part Two,0.024830779
Julia 1.11.2,2,Part One,0.02921251
Julia 1.11.2,2,Part Two,0.004036334
Julia 1.11.2,3,Part One,0.032703136
Julia 1.11.2,3,Part Two,0.004024383
Julia 1.11.2,4,Part One,0.029250472
Julia 1.11.2,4,Part Two,0.004064004
Julia 1.11.2,5,Part One,0.032048348
Julia 1.11.2,5,Part Two,0.004006504
Julia 1.11.2,6,Part One,0.030527705
Julia 1.11.2,6,Part Two,0.004012114
Julia 1.11.2,7,Part One,0.030343437
Julia 1.11.2,7,Part Two,0.003989354
Julia 1.11.2,8,Part One,0.030273756
Julia 1.11.2,8,Part Two,0.003991764
Julia 1.11.2,9,Part One,0.030359885
Julia 1.11.2,9,Part Two,0.004011594
Julia 1.11.2,10,Part One,0.030292716
Julia 1.11.2,10,Part Two,0.004044613
