lang,iter,part,sec
Python 3.13.1,1,Part One,0.017519524000022102
Python 3.13.1,1,Part Two,0.00384626400000343
Python 3.13.1,2,Part One,0.017640216000017972
Python 3.13.1,2,Part Two,0.003734369999961018
Python 3.13.1,3,Part One,0.017547104000072977
Python 3.13.1,3,Part Two,0.003714161000061722
Python 3.13.1,4,Part One,0.017521872999964216
Python 3.13.1,4,Part Two,0.0037149009999666305
Python 3.13.1,5,Part One,0.017457181000054334
Python 3.13.1,5,Part Two,0.004025887000011608
Python 3.13.1,6,Part One,0.01747993299989048
Python 3.13.1,6,Part Two,0.0037318019999474927
Python 3.13.1,7,Part One,0.017436251999924934
Python 3.13.1,7,Part Two,0.0037061699999867415
Python 3.13.1,8,Part One,0.017449902000066686
Python 3.13.1,8,Part Two,0.003720840999903885
Python 3.13.1,9,Part One,0.017606674999910865
Python 3.13.1,9,Part Two,0.003833172000099694
Python 3.13.1,10,Part One,0.017459302000020216
Python 3.13.1,10,Part Two,0.003829012999972292
